exp_num,defense_name,attack,model,dataset,poison_rate,FPR,TPR,precision,recall,f1,detected_poisoned,detected_clean,TP,TN,FP,FN,accuracy
0,STRIP,wanet,resnet18,cifar10,0.05,0.081,0.9007030960897989,0.9890288500609508,0.9007030960897989,0.942801807617818,7383,1724,7302,919,81,805,0.9027121994070496
0,STRIP,blended,resnet18,cifar10,0.05,0.086,0.9961761440730234,0.9894633668218574,0.9961761440730234,0.9928084086299097,8162,945,8076,914,86,31,0.987152739650818
0,STRIP,badnet,resnet18,cifar10,0.05,0.08,1.0,0.990228410895322,1.0,0.9950902172578865,8187,920,8107,920,80,0,0.9912155484791918
0,STRIP,bpp,resnet18,cifar10,0.05,0.077,0.7899346243986678,0.9881191174201512,0.7899346243986678,0.8779819029339183,6481,2626,6404,923,77,1703,0.8045459536620182
0,STRIP,narcissus,resnet18,cifar10,0.05,0.081,0.9997532996176144,0.9901050574150988,0.9997532996176144,0.9949057877616153,8186,921,8105,919,81,2,0.9908861315471617
0,STRIP,dfst,resnet18,cifar10,0.05,0.092,0.0001111111111111,0.010752688172043,0.0001111111111111,0.0002199494116353021,93,9907,1,908,92,8999,0.0909
0,STRIP,adaptive_blend,resnet18,cifar10,0.05,0.056,0.0083333333333333,0.5725190839694656,0.0083333333333333,0.01642755448472231,131,9869,75,944,56,8925,0.1019
0,STRIP,adaptive_patch,resnet18,cifar10,0.05,0.081,0.057,0.8636363636363636,0.057,0.10694183864915573,594,9406,513,919,81,8487,0.1432
0,STRIP,grond,resnet18,cifar10,0.05,0.079,0.0318888888888888,0.7841530054644809,0.0318888888888888,0.061285500747383995,366,9634,287,921,79,8713,0.1208
0,STRIP,badnet,resnet18,cifar100,0.05,0.101,1.0,0.9898000403958797,1.0,0.9948738770745571,9902,899,9801,899,101,0,0.990649013980187
0,STRIP,blended,resnet18,cifar100,0.05,0.107,0.9996939087848179,0.9891973750630995,0.9996939087848179,0.9944179437734699,9905,896,9798,893,107,3,0.9898157578002037
0,STRIP,wanet,resnet18,cifar100,0.05,0.079,0.9858177736965615,0.9918899496971564,0.9858177736965615,0.9888445399652032,9741,1060,9662,921,79,139,0.9798166836404036
0,STRIP,bpp,resnet18,cifar100,0.05,0.118,0.701867156412611,0.9831356295555238,0.701867156412611,0.8190260745326825,6997,3804,6879,882,118,2922,0.7185445792056291
0,STRIP,dfst,resnet18,cifar100,0.05,0.125,0.018484848484848486,0.5941558441558441,0.018484848484848486,0.03585423197492164,308,10592,183,875,125,9717,0.09706422018348623
0,STRIP,adaptive_patch,resnet18,cifar100,0.05,0.115,0.3146464646464647,0.9643962848297214,0.3146464646464647,0.4744859101294745,3230,7670,3115,885,115,6785,0.3669724770642202
0,STRIP,adaptive_blend,resnet18,cifar100,0.05,0.105,0.4109090909090909,0.9748382458662832,0.4109090909090909,0.5781283308463013,4173,6727,4068,895,105,5832,0.45532110091743117
0,STRIP,grond,resnet18,cifar100,0.05,0.099,0.09424242424242424,0.9040697674418605,0.09424242424242424,0.17069154774972556,1032,9868,933,901,99,8967,0.16825688073394496
0,STRIP,badnet,resnet18,imagenette,0.05,0.142,1.0,0.9568782265411478,1.0,0.9779639975170702,3293,858,3151,858,142,0,0.9657913755721513
0,STRIP,dfst,resnet18,imagenette,0.05,0.107,0.003674392312040701,0.10833333333333334,0.003674392312040701,0.007107709130672498,120,4418,13,893,107,3525,0.1996474217717056
0,STRIP,wanet,resnet18,imagenette,0.05,0.099,0.9016185337987941,0.9663265306122449,0.9016185337987941,0.932851748481366,2940,1211,2841,901,99,310,0.9014695254155625
0,STRIP,bpp,resnet18,imagenette,0.05,0.114,0.6810536337670581,0.9495575221238938,0.6810536337670581,0.7931990389946405,2260,1891,2146,886,114,1005,0.7304264032763189
0,STRIP,narcissus,resnet18,imagenette,0.05,0.114,0.8099016185337988,0.9572393098274569,0.8099016185337988,0.8774282276087331,2666,1485,2552,886,114,599,0.8282341604432667
0,STRIP,blended,resnet18,imagenette,0.05,0.104,0.9857188194224056,0.967601246105919,0.9857188194224056,0.9765760100613111,3210,941,3106,896,104,45,0.9641050349313418
0,STRIP,adaptive_patch,resnet18,imagenette,0.05,0.125,0.5537026568682871,0.9400191938579654,0.5537026568682871,0.6969050160085378,2084,2454,1959,875,125,1579,0.624504186866461
0,STRIP,adaptive_blend,resnet18,imagenette,0.05,0.125,0.10740531373657433,0.7524752475247525,0.10740531373657433,0.18797922334899828,505,4033,380,875,125,3158,0.27655354781842223
0,STRIP,grond,resnet18,imagenette,0.05,0.122,0.143583945732052,0.8063492063492064,0.143583945732052,0.24376199616122837,630,3908,508,878,122,3030,0.30542089026002645
0,STRIP,dfst,resnet18,cifar10,0.003,0.066,0.00011111111111111112,0.014925373134328358,0.00011111111111111112,0.00022058012573067168,67,9933,1,934,66,8999,0.0935
0,STRIP,grond,resnet18,cifar10,0.003,0.08,0.03833333333333333,0.8117647058823529,0.03833333333333333,0.07320954907161803,425,9575,345,920,80,8655,0.1265
0,STRIP,bpp,resnet18,cifar10,0.003,0.079,0.8305168373010978,0.9884028185554903,0.8305168373010978,0.902607413365507,6812,2295,6733,921,79,1374,0.8404523992533216
0,STRIP,blended,resnet18,cifar10,0.003,0.073,0.9496731219933391,0.9906073082861554,0.9496731219933391,0.969708419925688,7772,1335,7699,927,73,408,0.9471834852311409
0,STRIP,badnet,resnet18,cifar10,0.003,0.085,1.0,0.9896240234375,1.0,0.994784956132278,8192,915,8107,915,85,0,0.9906665202591414
0,STRIP,adaptive_blend,resnet18,cifar10,0.003,0.078,0.009222222222222222,0.515527950310559,0.009222222222222222,0.018120292544482042,161,9839,83,922,78,8917,0.1005
0,STRIP,adaptive_patch,resnet18,cifar10,0.003,0.077,0.5704444444444444,0.9852235655344463,0.5704444444444444,0.722538878333685,5211,4789,5134,923,77,3866,0.6057
0,STRIP,narcissus,resnet18,cifar10,0.003,0.08,0.9380782040212162,0.9895901106050748,0.9380782040212162,0.9631458966565349,7685,1422,7605,920,80,502,0.9360931151861206
0,STRIP,wanet,resnet18,cifar10,0.003,0.102,0.6848402615024053,0.9819596745666784,0.6848402615024053,0.8069181018821305,5654,3453,5552,898,102,2555,0.7082464038651587
